test-fqn,function-fqn,raters
org.apache.commons.io.input.BOMInputStreamTest.testMarkResetAfterReadWithoutBOM(),org.apache.commons.io.input.BOMInputStream.read(),"J1,J3,J4"
org.apache.commons.io.input.BOMInputStreamTest.testMarkResetAfterReadWithoutBOM(),org.apache.commons.io.input.BOMInputStream.reset(),"J1,J3,J4"
org.apache.commons.io.DirectoryWalkerTestCase.testCancel(),"org.apache.commons.io.DirectoryWalker.handleCancelled(java.io.File, java.util.Collection<T>, org.apache.commons.io.DirectoryWalker$CancelException)","J1,J3,J4"
org.apache.commons.io.DirectoryWalkerTestCase.testCancel(),"org.apache.commons.io.DirectoryWalker.walk(java.io.File, java.util.Collection<T>)","J1,J3,J4"
org.apache.commons.io.output.AppendableOutputStreamTest.testWriteStringBuilder(),org.apache.commons.io.output.AppendableOutputStream.write(int),"J1,J3,J4"
org.apache.commons.io.output.WriterOutputStreamTest.testLargeUTF8WithSingleByteWrite(),org.apache.commons.io.output.WriterOutputStream.write(int),"J1,J3,J4"
org.apache.commons.io.TaggedIOExceptionTest.testTaggedIOException(),"org.apache.commons.io.TaggedIOException.<init>(java.io.IOException, java.io.Serializable)","J1,J3,J4"
org.apache.commons.io.TaggedIOExceptionTest.testTaggedIOException(),"org.apache.commons.io.TaggedIOException.isTaggedWith(java.lang.Throwable, java.lang.Object)","J1,J3,J4"
org.apache.commons.io.output.ProxyOutputStreamTest.testWriteNullBaSucceeds(),org.apache.commons.io.output.ProxyOutputStream.write(byte[]),"J1,J3,J4"
org.apache.commons.io.output.StringBuilderWriterTest.testAppendChar(),org.apache.commons.io.output.StringBuilderWriter.append(char),"J1,J3,J4"
org.apache.commons.io.IOUtilsTestCase.testCopyLarge_NoSkip(),"org.apache.commons.io.IOUtils.copyLarge(java.io.InputStream, java.io.OutputStream, long, long)","J1,J3,J4"
org.apache.commons.io.FileUtilsTestCase.testMoveFileToDirectory_Errors(),"org.apache.commons.io.FileUtils.moveFileToDirectory(java.io.File, java.io.File, boolean)","J1,J3,J4"
org.apache.commons.io.FileUtilsTestCase.testMoveDirectory_Errors(),"org.apache.commons.io.FileUtils.moveDirectory(java.io.File, java.io.File)","J1,J3,J4"
org.apache.commons.io.output.XmlStreamWriterTest.testUTF16BEEncoding(),"org.apache.commons.io.output.XmlStreamWriter.detectEncoding(char[], int, int)","J1,J3,J4"
org.apache.commons.io.output.XmlStreamWriterTest.testLatin7Encoding(),"org.apache.commons.io.output.XmlStreamWriter.detectEncoding(char[], int, int)","J1,J3,J4"
org.apache.commons.io.IOCaseTestCase.test_serialization(),org.apache.commons.io.IOCase.values(),"J1,J3,J4"
org.apache.commons.io.input.XmlStreamReaderUtilitiesTest.testTextXml(),org.apache.commons.io.input.XmlStreamReader.isTextXml(java.lang.String),"J1,J3,J4"
org.apache.commons.io.FileUtilsTestCase.testIO300(),"org.apache.commons.io.FileUtils.moveDirectoryToDirectory(java.io.File, java.io.File, boolean)","J1,J3,J4"
org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),"org.apache.commons.io.IOUtils.read(java.nio.channels.ReadableByteChannel, java.nio.ByteBuffer)","J1,J3,J4"
org.apache.commons.io.IOUtilsTestCase.testRead_ReadableByteChannel(),"org.apache.commons.io.IOUtils.readFully(java.nio.channels.ReadableByteChannel, java.nio.ByteBuffer)","J1,J3,J4"
org.apache.commons.io.FilenameUtilsTestCase.testGetPathNoEndSeparator_with_null_byte(),org.apache.commons.io.FilenameUtils.getPathNoEndSeparator(java.lang.String),"J1,J3,J4"
org.apache.commons.io.comparator.ComparatorAbstractTestCase.testSortListNull(),org.apache.commons.io.comparator.AbstractFileComparator.sort(java.util.List<java.io.File>),"J1,J3,J4"
